base_rate,baseline_tvr,break_length,break_type,channel,date,day,is_gold,num_breaks,position,predicted_retention,predicted_revenue,program_type,retention_ci_high,retention_ci_low,retention_confidence,retention_n,retention_used,segment_id,start_time,total_break_time
55.2,2.8,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,17642.81,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|029,09:34,120.0
55.2,2.5,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Morning Program,,,medium,229,1.0,2024-11-01|רשת 13|030,10:00,0.0
55.2,3.0,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9512,18903.01,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|031,10:05,120.0
55.2,3.0,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|032,10:06,0.0
55.2,2.1,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,13232.11,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|033,10:43,120.0
55.2,2.8,120.0,medium,רשת 13,2024-11-01,Fri,False,1,start,0.9512,17642.81,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|034,11:06,120.0
55.2,2.4,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|035,11:07,0.0
55.2,2.5,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,15752.51,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|036,11:23,120.0
79.35,2.6,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9465,23433.75,News,0.972,0.9156,medium,51,0.9465,2024-11-01|רשת 13|037,12:00,120.0
75.9,2.4,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,24,1.0,2024-11-01|רשת 13|038,12:05,0.0
69.0,2.6,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,low,19,1.0,2024-11-01|רשת 13|039,12:06,0.0
55.2,1.6,120.0,medium,רשת 13,2024-11-01,Fri,False,2,middle,0.9025,19646.42,Documentary,0.9453,0.862,medium,229,0.9025,2024-11-01|רשת 13|040,12:06,240.0
55.2,1.4,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|041,12:34,0.0
