Unnamed: 0,Campaign,Channel,Last_dt,Start time,Duration,Spot type,Promotion,Pos. Block 1,Spots Block 1,Title,TVR,Date_dt,Start_dt,End_dt,hour_of_day,quarter_id,advertiser_id,break_id,position_in_break,channel,base_rate,prime_premium,pos1,pos2,pos3,pos_last,adv_premium,position_premium,total_premium,revenue_ils,is_target_channel,include_as_media,competitor_flag
78,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,,41,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
79,2024-10 - ד״ר לוינגר,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
80,2024-10 - ניאופרם - אגודת הפסוריאזיס הישראלית,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
81,2024-08 - לוריאל - רויטליפט — רויטליפט לייזר פילר,קשת 12,02/11/2024,,22,פרסומת,ספוט,1,6,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
82,2024-10 - מפעל הפיס — קמפיין חכם,קשת 12,02/11/2024,,36,פרסומת,ספוט,2,6,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,2,1,,,,TRUE,TRUE,FALSE
83,2024-10 - כאל — כאל - קמפיין הלוואות נובמבר 24,קשת 12,02/11/2024,,24,פרסומת,ספוט,3,6,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,2,1,,,,TRUE,TRUE,FALSE
84,"2024-10 - קופ""ח מכבי - מכבי שירותי בריאות — קמפיין השקה מכבי",קשת 12,02/11/2024,,82,פרסומת,ספוט,4,6,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,2,1,,,,TRUE,TRUE,FALSE
85,2024-05 - משולחן לשולחן לקט ישראל - לקט ישראל,קשת 12,02/11/2024,,20,פרסומת,ספוט,5,6,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,2,1,,,,TRUE,TRUE,FALSE
86,"2024-10 - קופ""ח כללית - כללית — רופא ילדים און-ליין",קשת 12,02/11/2024,,67,פרסומת,ספוט,99,6,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
87,2024-10 - דלק מוטורס - ב.מ.וו — ימי מכירות אחרונים BMW,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
88,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
89,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
90,2024-10 - דלק מוטורס - ב.מ.וו — ימי מכירות אחרונים BMW,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
91,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
92,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
93,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,,76,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
94,פ-רותם אבוהב סטנדאפ ילדים זה מצחיק,קשת 12,02/11/2024,,32,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
95,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,15,פרסומת,ספוט,1,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
96,"2024-10 - קופ""ח מאוחדת - מאוחדת — מאוחדת ג'וניור",קשת 12,02/11/2024,,38,פרסומת,ספוט,2,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
97,2024-02 - אול'גובס - אולג'ובס — קמפיין מחפשי עבודה - פברואר,קשת 12,02/11/2024,,24,פרסומת,ספוט,3,8,,,,,,,,2024,,,קשת 12,50,1,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
