arm,w,eval_world,gross_ils,cost_ils,net_ils,delta_vs_baseline,breaks,violations,identical,decisions
baseline_1.947_w1.00,1.0,1.947,194656679.2,28593798.2,166062881.0,0.0,8990,0,8704,8704
baseline_1.947_w1.00,1.0,1.690,197520612.18,25729865.22,171790746.96,0.0,8990,0,8704,8704
baseline_1.947_w1.00,1.0,1.000,205209770.76,18040706.64,187169064.12,0.0,8990,0,8704,8704
honest_1.690_w1.00,1.0,1.947,195027988.12,28771374.08,166256614.03,193733.03,8992,0,8631,8704
honest_1.690_w1.00,1.0,1.690,197900644.93,25898717.27,172001927.65,211180.7,8992,0,8631,8704
honest_1.690_w1.00,1.0,1.000,205613225.46,18186136.74,187427088.73,258024.61,8992,0,8631,8704
