break_id,phase,offset,rel_s,rel_c,rel_g,rel_raw
4,pre,-6,0.8539059276695212,0.8332415030331104,0.8446856459068984,1.08
4,pre,-5,1.0400655137965258,1.0486820390990699,1.0288351232136155,1.08
4,pre,-4,1.0400655137965258,1.018553237658287,1.0288351232136155,1.08
4,pre,-3,1.0601633981210965,1.0700541428320043,1.0487159951597727,1.08
4,pre,-2,1.0864050663914206,1.0927007913575495,1.0854210549903645,1.08
4,pre,-1,0.8534315354874826,0.8372450658104464,0.8658629498498633,0.8399999999999999
4,leave,0,0.8534315354874826,0.78501925273845,0.8358577981223929,0.8399999999999999
4,leave,1,1.108352643490237,1.0713351334259773,1.096384904030671,1.08
4,return,1,1.108352643490237,1.0653832715736107,1.0854210549903645,1.08
4,return,2,1.125404222620856,1.083440615159604,1.096384904030671,1.08
4,return,3,1.148972897440141,1.1537455283048985,1.13656654972813,1.08
4,return,4,1.2766365527112677,1.260808605412557,1.2628517219201447,1.2
4,return,5,1.3180409814478495,1.3203467895570389,1.3038090750635007,1.2
4,return,6,1.3180409814478495,1.4062865214216984,1.347512172551663,1.2
4,return,7,1.3397669316914953,1.382332326416177,1.3253004334436682,1.2
4,return,8,1.3397669316914953,1.3187768171556633,1.3038090750635007,1.2
4,return,9,1.354653230932512,1.4111036709584248,1.3400259938152648,1.2
4,return,10,1.6255838771190145,1.5964784289314846,1.590360520132402,1.44
5,pre,-6,0.9308975017711915,0.86763978744305,0.8904236973463572,0.9729729729729729
5,pre,-5,0.9308975017711915,0.9368663662283996,0.9599880487015413,0.9729729729729729
5,pre,-4,1.039987052760003,0.9835487109373748,1.0084722935854575,1.054054054054054
5,pre,-3,1.039987052760003,1.0624894484895684,1.039987052760003,1.054054054054054
5,pre,-2,1.0564947837561935,1.060046944010282,1.0564947837561935,1.054054054054054
5,pre,-1,0.9035181634838036,0.8774636075001497,0.9035181634838036,0.8918918918918919
5,leave,0,0.9182494378884307,0.8871060647254264,0.9232671943796245,0.8918918918918919
5,leave,1,0.7554004317651473,0.7090322251431282,0.7512949946359887,0.7297297297297297
5,return,1,0.7722808883409048,0.7325762956865814,0.7722808883409048,0.7297297297297297
5,return,2,0.7854447671194429,0.7464859721869596,0.8037109244943136,0.7297297297297297
5,return,3,0.7899330229315539,0.8190609972606916,0.8480876013068831,0.7297297297297297
5,return,4,0.7990651966070632,0.7767095505730656,0.7899330229315539,0.7297297297297297
5,return,5,0.5358072829962091,0.5310068179643341,0.5518494172176525,0.48648648648648646
5,return,6,0.5358072829962091,0.49765731479130637,0.5327101310713754,0.48648648648648646
5,return,7,0.5518494172176525,0.5273379546435304,0.5358072829962091,0.48648648648648646
5,return,8,0.5518494172176525,0.5273379546435304,0.5236298447462953,0.48648648648648646
5,return,9,0.5585385010627149,0.5408932751336848,0.5518494172176525,0.48648648648648646
5,return,10,0.5653917342045888,0.6392671198132229,0.5907618761240253,0.48648648648648646
6,pre,-6,0.9235476637595476,0.9000146522531911,0.9890179267588205,1.0
6,pre,-5,0.9507108303407108,0.9411917932059514,0.9325026166583165,1.0
6,pre,-4,0.9795202494419444,0.9788394649341895,0.9890179267588205,1.0
6,pre,-3,0.9795202494419444,0.995571763480073,0.9599291642070905,1.0
6,pre,-2,0.9997165432448711,1.019796822089086,1.030660786832876,1.0
6,pre,-1,1.0207632073131843,0.9846314144308415,1.0094100489600333,1.0
6,leave,0,1.0895787044354213,1.0959082523630943,1.1385206366177119,1.0
6,leave,1,1.0895787044354213,1.139744582457618,1.1001435365070025,1.0
6,leave,2,0.8815682244977501,0.9073565439312059,0.880114829205602,0.8
6,leave,3,0.8815682244977501,0.8533472258400627,0.8901161340829385,0.8
6,return,1,0.9020698111139768,0.8131897093299421,0.8901161340829385,0.8
6,return,2,0.9346747440458072,0.8640140661630635,0.9437375879433564,0.8
6,return,3,0.9577531327876793,0.9768580085274403,0.9670397506086247,0.8
6,return,4,1.0075065422831428,0.995571763480073,1.0172755818090726,0.8
6,return,5,1.0075065422831428,0.9768580085274401,1.0172755818090726,0.8
7,pre,-5,0.9103337549868639,0.8271722902358913,0.8896443514644352,0.9999999999999999
7,pre,-4,0.9432373846851841,0.8788705583756347,0.9432373846851841,0.9999999999999999
7,pre,-3,0.9665271966527198,0.9936548223350257,0.9665271966527198,0.9999999999999999
7,pre,-2,1.0167364016736402,1.012690355329949,1.0167364016736402,0.9999999999999999
7,pre,-1,1.0167364016736402,0.9936548223350253,1.0167364016736402,0.9999999999999999
7,leave,0,1.0167364016736402,1.0416243654822337,1.0438493723849371,0.9999999999999999
7,leave,1,1.52510460251046,1.485415028240509,1.52510460251046,1.4999999999999996
7,leave,2,1.5657740585774056,1.485415028240509,1.52510460251046,1.4999999999999996
7,return,1,1.3048117154811714,1.3020304568527918,1.3783222346632091,1.2499999999999998
7,return,2,1.3048117154811714,1.4021866458414682,1.340559981658738,1.2499999999999998
7,return,3,1.3224443062309172,1.380941393631749,1.3224443062309172,1.2499999999999998
7,return,4,1.3224443062309172,1.4089135540571256,1.3224443062309172,1.2499999999999998
7,return,5,1.3224443062309172,1.340325470289639,1.3048117154811714,1.2499999999999998
7,return,6,1.3224443062309172,1.2924567034935803,1.340559981658738,1.2499999999999998
7,return,7,1.3224443062309172,1.311747102053186,1.3591788702928866,1.2499999999999998
7,return,8,1.340559981658738,1.3295381425609496,1.3048117154811714,1.2499999999999998
7,return,9,1.340559981658738,1.3521085513471303,1.340559981658738,1.2499999999999998
7,return,10,1.340559981658738,1.2555293691080494,1.3224443062309172,1.2499999999999998
11,pre,-6,1.0223835450695704,1.1601104914946776,1.0300044276200035,1.0263157894736843
11,pre,-5,1.026315789473684,1.1154908572064206,1.0105703818158527,1.0263157894736843
11,pre,-4,1.026315789473684,1.1348038332416364,1.0300044276200035,1.0263157894736843
11,pre,-3,0.9473684210526314,0.9658245750807433,0.947130508156325,0.9473684210526316
11,pre,-2,1.026315789473684,1.0127194044605177,1.0067712450421087,1.0263157894736843
11,pre,-1,1.026315789473684,1.0214560204587393,1.0460982468015663,1.0263157894736843
11,leave,0,1.026315789473684,1.0029327847807679,1.0300044276200035,1.0263157894736843
11,leave,1,0.8717740296687665,0.8259177794637543,0.8749072358162194,0.8684210526315791
11,leave,2,0.8717740296687665,0.8837176934690258,0.8851600549859406,0.8684210526315791
11,return,1,0.8751529987760097,0.9248105662153355,0.9064038963056033,0.8684210526315791
11,return,2,0.8785582633626868,0.9607497225015027,0.8886312708878463,0.8684210526315791
11,return,3,1.0423519736842104,1.1827177728673943,1.0260580505026855,1.0263157894736843
11,return,4,0.8819901315789472,0.9790055143300339,0.8817158524373573,0.8684210526315791
11,return,5,0.8785582633626868,0.9919439131978316,0.8921298191984286,0.8684210526315791
11,return,6,0.8785582633626868,0.9460977659491924,0.8782983491333365,0.8684210526315791
11,return,7,0.8819901315789472,0.9190664012077869,0.8550980153826446,0.8684210526315791
11,return,8,0.8819901315789472,0.951890201250922,0.8921298191984286,0.8684210526315791
11,return,9,0.8819901315789472,0.9611750211834424,0.9027927254039874,0.8684210526315791
11,return,10,0.9584271963956582,1.0527487868380103,0.9888042505152035,0.9473684210526316
12,pre,-6,0.9404430591116555,0.9450426700483859,0.9340538017920094,0.9428571428571428
12,pre,-5,0.9441166648113103,0.9180414509041465,0.9093806824993903,0.9428571428571428
12,pre,-4,0.9441166648113103,0.9508286455792945,0.9487633104816475,0.9428571428571428
12,pre,-3,0.9441166648113103,0.9601031110053324,0.9601031110053324,0.9428571428571428
12,pre,-2,1.0259378826672605,1.0515747528538402,1.0515747528538402,1.0285714285714285
12,pre,-1,1.0299454525214293,0.9883221361408273,0.9883221361408273,1.0285714285714285
12,leave,0,1.0380552592341967,1.0266420181278777,1.0072555103963987,1.0285714285714285
12,leave,1,1.0380552592341967,1.1056276607108133,1.0229326389628797,1.0285714285714285
12,leave,2,1.0421582444485609,1.1160581103401606,1.0269284695838283,1.0285714285714285
12,leave,3,1.0421582444485609,1.1274193256717586,1.0432289214819845,1.0285714285714285
12,return,1,1.0421582444485609,0.9683008773976429,1.0432289214819845,1.0285714285714285
12,return,2,1.2016030279416676,0.9294221300475861,1.1751314287957983,1.2
12,return,3,1.2016030279416676,0.8835247409094338,1.2518747057783812,1.2
12,return,4,1.2158512851899876,1.0732001391157209,1.2467857842101764,1.2
12,return,5,1.0462937930376426,0.9827801428540563,1.047385212005817,1.0285714285714285
12,return,6,1.0462937930376426,1.0247200212621428,1.0391054870097234,1.0285714285714285
12,return,7,1.0504622942051232,1.0005140365079188,1.0150335452257144,1.0285714285714285
12,return,8,0.9629237696880297,0.9870890600293521,0.9197934384058719,0.9428571428571428
12,return,9,0.7878467206538424,0.8680451969312363,0.7642258378298259,0.7714285714285714
12,return,10,0.9629237696880297,1.0971714901049554,0.9836158402544426,0.9428571428571428
13,pre,-6,1.1848456898319002,1.1861995576527895,1.1737154833185963,1.2222222222222223
13,pre,-5,1.5145993945777796,1.5046705684292232,1.4617634891739988,1.5555555555555554
13,pre,-4,0.9910580222173483,1.0185439843549915,0.9774611086727921,1.0
