len_bin,offset,mean_rel,n,n_clusters,mean_rel_c,mean_rel_g,mean_rel_raw,trusted,ci_lo,ci_hi
ALL,1,0.9690776113662979,2829,2007,0.9965981976093438,0.9744088928801214,0.9610430935175811,True,0.9594002367709881,0.9781190198209355
ALL,2,0.9853670491351656,2664,1909,0.9983068204663443,0.9899757645064904,0.9800076944213952,True,0.9746964690831121,0.9958026989781112
ALL,3,0.9982167563458582,2647,1898,1.0058958472555641,1.0017338466383305,0.9955491940491777,True,0.9866324491222904,1.0092741905908669
ALL,4,1.0039606712233362,2626,1886,1.0095994091564757,1.006150760775563,1.002872900923103,True,0.9928448508768489,1.0147093238074965
ALL,5,1.0093325374224866,2601,1869,1.0143914925081352,1.0108625128635722,1.0086326777336778,True,0.9974782858026868,1.021004720579783
ALL,6,1.0189754428545534,2564,1853,1.0243529454238398,1.0207037784314803,1.0198976873569472,True,1.0052020742344194,1.0320348976699136
ALL,7,1.0274001907969004,2520,1827,1.0315893088053831,1.028519842805459,1.0293347158257742,True,1.0126795330377416,1.0413273482504424
ALL,8,1.0332767333388706,2487,1807,1.0366109810496142,1.0345365015979127,1.0369180108708502,True,1.017332763700113,1.048809712690879
ALL,9,1.0468331052613717,2443,1780,1.0479460028454004,1.047610400972274,1.0563570939182925,True,1.0257129222497956,1.067972500462146
ALL,10,1.0503714896978704,2379,1752,1.0512012896557164,1.0511450024039506,1.0635387597136925,True,1.0288333556337845,1.0721849376443389
1.5-2.5,1,0.9654710530710136,802,651,0.9963717674622422,0.97224910274058,0.9635236905127962,True,0.9469967853075,0.9848394991945044
1.5-2.5,2,0.9939156592188112,770,620,1.006034863611999,0.9990796691041824,0.9938945319319898,True,0.9731477905230255,1.0154019037252395
1.5-2.5,3,1.0058482037702634,765,616,1.0148884026963,1.0091320782427389,1.010394746274589,True,0.9826205230915123,1.0309279481319338
1.5-2.5,4,1.0119513486398497,763,615,1.0225192110966794,1.0138566561679443,1.0177407119694772,True,0.9884363485727208,1.0349804827301916
1.5-2.5,5,1.0238328353766812,758,611,1.035269320686481,1.0243677025146314,1.0298061637401639,True,0.9985961145296784,1.0503609601322335
1.5-2.5,6,1.0401069640171492,747,604,1.0512668460265722,1.0419048145089496,1.0465648024564311,True,1.0095741706691967,1.069977955308528
1.5-2.5,7,1.056062339808883,739,601,1.0683795131590381,1.0574842765199697,1.0641528648824534,True,1.021519484422087,1.0895414096590534
1.5-2.5,8,1.0576430718512326,734,598,1.0688035815724914,1.059390803942091,1.066674456874767,True,1.02345849904452,1.094525420530495
1.5-2.5,9,1.0818631145496744,724,592,1.0890647700591056,1.0833220186971861,1.1103757791335125,True,1.0304993754557894,1.137493231967263
1.5-2.5,10,1.0892690651423262,717,585,1.0936750181038013,1.0909171501024855,1.1255691899214828,True,1.0349514133371942,1.152019442495868
2.5-3.5,1,1.0260253925278384,301,271,1.0355158395208583,1.0264586630501822,1.023934658745811,True,0.9943473491439733,1.059102830108361
2.5-3.5,2,1.0258159840614376,297,268,1.0267616586041621,1.025286012854998,1.0256062002119584,True,0.9919524539016142,1.0614900108317853
2.5-3.5,3,1.035908926818513,297,268,1.0339998288356007,1.0349404928085508,1.0387813649889515,True,1.0022983363269238,1.0709139745233864
2.5-3.5,4,1.0363826617859515,297,268,1.034947246760822,1.0330047253093022,1.0390163342262313,True,1.0026887939752784,1.06995778820758
2.5-3.5,5,1.0274327572874362,296,267,1.0322626132332793,1.0265794114490043,1.0322713655579063,True,0.9933563278192692,1.0615315685532678
2.5-3.5,6,1.0413082886313745,293,265,1.049104249481138,1.042635186635777,1.0507495619613378,True,1.001562309450507,1.079806596566786
2.5-3.5,7,1.0340259341618088,289,261,1.0353504920025043,1.0328542641701446,1.0436426708613809,True,0.9976597532685465,1.0717627256335513
2.5-3.5,8,1.053943956572601,285,259,1.055973193293976,1.0546897052264264,1.068571192221482,True,1.0031549372534665,1.107164140164452
2.5-3.5,9,1.0579013560402488,278,252,1.057497344458681,1.05619086631819,1.0734869359686248,True,1.0064617919509409,1.11340824005666
2.5-3.5,10,1.0646372624679379,273,249,1.0636898701907587,1.061729915422957,1.0825750455162018,True,1.01721288754131,1.1132649030077553
3.5-5,1,0.958310099041952,280,255,0.9565612697013922,0.9618145497849103,0.9402903666715551,True,0.9343617202030384,0.9850199739757475
3.5-5,2,0.9754683118529277,259,239,0.9761883671421627,0.9767729629159765,0.9610607720543628,True,0.9517137643520115,1.0014387815738912
3.5-5,3,0.9948416586359385,253,235,0.9967554394404181,0.9947246775673535,0.9808177939522101,True,0.9681559299113672,1.025078793616622
3.5-5,4,1.0160639539113345,250,233,1.015718014199605,1.0155096475717895,1.0015073180510972,True,0.9871276479896988,1.0465151899930036
3.5-5,5,1.0136048816801868,246,229,1.0149448352300188,1.0128101919671222,0.9925512972755066,True,0.9818268284251312,1.0484709113745256
3.5-5,6,1.0176539437195165,242,226,1.0279439758408315,1.0175163141867882,0.9955362856847887,True,0.9825265479137318,1.05617036429884
3.5-5,7,1.034984673183919,238,222,1.0444186750534463,1.033180401804206,1.0092725448479225,True,0.9973645220923514,1.0739817109456709
3.5-5,8,1.0356645135598161,234,219,1.0460964225778195,1.0357629611839754,1.0094939398177827,True,0.9960458566565202,1.075266730314857
3.5-5,9,1.0406163678320808,230,215,1.0462155607114019,1.040205197990667,1.0101430925835773,True,0.9998017087737316,1.0812985236284904
3.5-5,10,1.0506477267708438,223,209,1.0531919007249477,1.0507531553142462,1.0182131951234772,True,1.0012739460544808,1.105068661312736
5-7,1,0.940377792838924,410,309,0.9583565543223027,0.9454824529320554,0.9261047374895127,True,0.9225893626125683,0.9574649911153429
5-7,2,0.9584028392727332,375,292,0.9747169358852452,0.9625887347009898,0.9484454791536095,True,0.9406588196710336,0.9773453589276384
5-7,3,0.9709379081508552,374,291,0.9869129206330448,0.9742962823266089,0.9640100577154911,True,0.9514874220944904,0.9910153633241141
