channel,channel_name,program_type,break_position,break_length,daypart,date,hour,len_min,break_seconds,num_spots,shed,log_effect,observed_ratio,expected_ratio,ordinal,first_break,prog_key,cluster,start_min
כאן 11,PrimeShow2_last_standard,PrimeShow2,last,standard,late_evening,2024-11-01,22,2.6666666666666665,160.0,6,-0.15984870094189618,0.15984870094189618,1.0814814814814815,0.9217171717171716,2.0,0,"('כאן 11', '2024-11-01', 64)","('כאן 11', '2024-11-01', 64)",2024-11-01 22:53:00
כאן 11,Other_middle_standard,Other,middle,standard,late_evening,2024-11-01,23,2.3333333333333335,140.0,5,-0.03639209535213911,0.03639209535213911,0.8376623376623377,0.8077260755048288,1.0,1,"('כאן 11', '2024-11-01', 67)","('כאן 11', '2024-11-01', 67)",2024-11-01 23:18:00
כאן 11,PrimeShow1_middle_standard,PrimeShow1,middle,standard,late_evening,2024-11-01,23,2.533333333333333,152.0,4,0.054411172432601955,-0.054411172432601955,0.957983193277311,1.011552346570397,1.0,1,"('כאן 11', '2024-11-01', 70)","('כאן 11', '2024-11-01', 70)",2024-11-01 23:45:00
כאן 11,Other_middle_standard,Other,middle,standard,overnight,2024-11-02,0,2.466666666666667,148.0,4,-0.1313893823691039,0.1313893823691039,1.0606060606060606,0.9300202839756593,1.0,1,"('כאן 11', '2024-11-02', 0)","('כאן 11', '2024-11-02', 0)",2024-11-02 00:29:00
כאן 11,Other_middle_short,Other,middle,short,overnight,2024-11-02,1,1.0166666666666666,61.0,2,-0.03614851411631109,0.03614851411631109,1.0,0.9644970414201184,1.0,1,"('כאן 11', '2024-11-02', 2)","('כאן 11', '2024-11-02', 2)",2024-11-02 01:12:00
כאן 11,Other_last_standard,Other,last,standard,overnight,2024-11-02,1,2.1166666666666667,127.0,2,0.30017108402255555,-0.30017108402255555,0.7021276595744681,0.9479353680430878,2.0,0,"('כאן 11', '2024-11-02', 2)","('כאן 11', '2024-11-02', 2)",2024-11-02 01:31:00
כאן 11,Other_first_short,Other,first,short,overnight,2024-11-02,2,1.1666666666666667,70.0,2,0.29425930273977685,-0.29425930273977685,1.0434782608695654,1.4004854368932036,1.0,1,"('כאן 11', '2024-11-02', 7)","('כאן 11', '2024-11-02', 7)",2024-11-02 02:02:00
כאן 11,Other_first_short,Other,first,short,overnight,2024-11-02,3,0.9,54.0,2,-0.10643984657750209,0.10643984657750209,1.0,0.8990291262135922,1.0,1,"('כאן 11', '2024-11-02', 13)","('כאן 11', '2024-11-02', 13)",2024-11-02 03:16:00
כאן 11,Other_last_short,Other,last,short,overnight,2024-11-02,3,0.9666666666666667,58.0,2,-0.032129090815061004,0.032129090815061004,0.9230769230769232,0.8938906752411574,2.0,0,"('כאן 11', '2024-11-02', 13)","('כאן 11', '2024-11-02', 13)",2024-11-02 03:35:00
כאן 11,Other_middle_short,Other,middle,short,overnight,2024-11-02,4,0.9666666666666667,58.0,2,-0.027524673390089804,0.027524673390089804,1.0,0.9728506787330319,1.0,1,"('כאן 11', '2024-11-02', 16)","('כאן 11', '2024-11-02', 16)",2024-11-02 04:04:00
כאן 11,Other_middle_short,Other,middle,short,overnight,2024-11-02,5,1.0166666666666666,61.0,2,0.4567584024957149,-0.4567584024957149,0.6,0.9473684210526315,1.0,1,"('כאן 11', '2024-11-02', 19)","('כאן 11', '2024-11-02', 19)",2024-11-02 05:10:00
כאן 11,Other_last_short,Other,last,short,overnight,2024-11-02,5,1.1666666666666667,70.0,2,1.0163741904311372,-1.0163741904311372,0.3333333333333334,0.9210526315789473,2.0,0,"('כאן 11', '2024-11-02', 19)","('כאן 11', '2024-11-02', 19)",2024-11-02 05:25:00
כאן 11,Other_last_short,Other,last,short,overnight,2024-11-02,5,1.0166666666666666,61.0,2,0.1409363406311005,-0.1409363406311005,1.0,1.1513513513513516,1.0,1,"('כאן 11', '2024-11-02', 22)","('כאן 11', '2024-11-02', 22)",2024-11-02 05:52:00
כאן 11,PrimeShow1_middle_standard,PrimeShow1,middle,standard,morning,2024-11-02,7,1.7166666666666666,103.0,3,0.016755913728439077,-0.016755913728439077,1.0,1.0168970814132106,1.0,1,"('כאן 11', '2024-11-02', 28)","('כאן 11', '2024-11-02', 28)",2024-11-02 07:45:00
כאן 11,Other_first_short,Other,first,short,morning,2024-11-02,7,1.1666666666666667,70.0,2,0.12890806263965016,-0.12890806263965016,0.8571428571428573,0.9750733137829912,1.0,1,"('כאן 11', '2024-11-02', 30)","('כאן 11', '2024-11-02', 30)",2024-11-02 07:58:00
כאן 11,Other_first_short,Other,first,short,morning,2024-11-02,8,1.0333333333333334,62.0,2,-0.28351663947271755,0.28351663947271755,1.4444444444444442,1.0878552971576227,1.0,1,"('כאן 11', '2024-11-02', 38)","('כאן 11', '2024-11-02', 38)",2024-11-02 08:58:00
כאן 11,PrimeShow2_middle_standard,PrimeShow2,middle,standard,morning,2024-11-02,9,2.2,132.0,3,0.008507850134217114,-0.008507850134217114,0.9591836734693876,0.9673790776152982,1.0,1,"('כאן 11', '2024-11-02', 41)","('כאן 11', '2024-11-02', 41)",2024-11-02 09:36:00
כאן 11,Other_first_short,Other,first,short,morning,2024-11-02,9,0.8833333333333333,53.0,2,0.13324099041542528,-0.13324099041542528,0.9545454545454544,1.0905923344947737,1.0,1,"('כאן 11', '2024-11-02', 43)","('כאן 11', '2024-11-02', 43)",2024-11-02 09:52:00
כאן 11,Other_first_standard,Other,first,standard,morning,2024-11-02,9,1.5666666666666667,94.0,3,-0.052930293995811964,0.052930293995811964,1.0476190476190477,0.9936102236421726,1.0,1,"('כאן 11', '2024-11-02', 45)","('כאן 11', '2024-11-02', 45)",2024-11-02 09:56:00
כאן 11,PrimeShow1_middle_standard,PrimeShow1,middle,standard,afternoon,2024-11-02,12,2.2,132.0,4,0.03850656960536242,-0.03850656960536242,0.9824561403508772,1.0210249671484888,1.0,1,"('כאן 11', '2024-11-02', 48)","('כאן 11', '2024-11-02', 48)",2024-11-02 12:29:00
כאן 11,PrimeShow1_last_standard,PrimeShow1,last,standard,afternoon,2024-11-02,12,2.3,138.0,3,-0.02994116669877054,0.02994116669877054,0.987179487179487,0.9580602883355176,2.0,0,"('כאן 11', '2024-11-02', 48)","('כאן 11', '2024-11-02', 48)",2024-11-02 12:49:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-02,13,1.7166666666666666,103.0,3,-0.11684426878564828,0.11684426878564828,1.0701754385964914,0.9521604938271604,1.0,1,"('כאן 11', '2024-11-02', 53)","('כאן 11', '2024-11-02', 53)",2024-11-02 13:33:00
כאן 11,Other_middle_standard,Other,middle,standard,afternoon,2024-11-02,14,2.1666666666666665,130.0,3,0.06899287148695146,-0.06899287148695146,0.8888888888888888,0.9523809523809523,1.0,1,"('כאן 11', '2024-11-02', 57)","('כאן 11', '2024-11-02', 57)",2024-11-02 14:05:00
